alg,thread_num,iter_type,prefill,query_num,insert,query,delete
wormhole,1,rand,14000,4000,0.000380386,0.000716438,0.000183316
PGM,1,rand,15000,4000,0.0941057,0.000874309,0.239175
wormhole,1,rand,15000,4000,0.000396929,0.000722377,0.000173929
PGM,1,rand,16000,4000,0.0845491,0.000721415,0.209102
wormhole,1,rand,16000,4000,0.000329397,0.000690012,0.000162261
PGM,1,rand,17000,4000,0.103903,0.000918859,0.255176
wormhole,1,rand,17000,4000,0.000298038,0.00068713,0.00016708
PGM,1,rand,18000,4000,0.0925699,0.000829947,0.25324
wormhole,1,rand,18000,4000,0.000267239,0.000684125,0.000172584
PGM,1,rand,19000,4000,0.0913842,0.000806684,0.255881
wormhole,1,rand,19000,4000,0.000259841,0.000677215,0.000175544
PGM,1,seq,1000,5000,1.05782,0.000810371,1.05544
wormhole,1,seq,1000,5000,0.00127902,0.000292127,0.000644988
PGM,1,seq,2000,5000,1.06741,0.000848111,1.07069
wormhole,1,seq,2000,5000,0.00104851,0.000294808,0.000698417
PGM,1,seq,3000,5000,0.967147,0.000967882,0.987792
wormhole,1,seq,3000,5000,0.000893176,0.00027787,0.000559027
PGM,1,seq,4000,5000,0.923069,0.000643461,0.926395
wormhole,1,seq,4000,5000,0.000758644,0.00028224,0.0005684
PGM,1,seq,5000,5000,0.898509,0.000821886,0.920237
wormhole,1,seq,5000,5000,0.000621832,0.000244935,0.000474108
PGM,1,seq,6000,5000,0.815426,0.000695236,0.965456
wormhole,1,seq,6000,5000,0.000723722,0.00033622,0.000611183
PGM,1,seq,7000,5000,1.49195,0.000774418,0.963875
wormhole,1,seq,7000,5000,0.000569987,0.000213339,0.000484179
PGM,1,seq,8000,5000,0.950315,0.000922725,0.964086
wormhole,1,seq,8000,5000,0.000568059,0.000215371,0.000474044
PGM,1,seq,9000,5000,0.831931,0.000730398,0.93152
wormhole,1,seq,9000,5000,0.00053535,0.000207916,0.000472658
PGM,1,seq,10000,5000,0.932813,0.000875433,0.951218
wormhole,1,seq,10000,5000,0.000513933,0.000221842,0.000465414
PGM,1,seq,11000,5000,0.83257,0.000743559,0.913223
wormhole,1,seq,11000,5000,0.000487651,0.000263294,0.000407079
PGM,1,seq,12000,5000,0.933975,0.00085836,0.953589
wormhole,1,seq,12000,5000,0.000479311,0.00022599,0.000479921
PGM,1,seq,13000,5000,0.956994,0.000876634,0.966844
wormhole,1,seq,13000,5000,0.000473638,0.000209751,0.000464379
PGM,1,seq,14000,5000,0.915547,0.000811731,0.93623
wormhole,1,seq,14000,5000,0.000460244,0.000204839,0.000474269
PGM,1,seq,15000,5000,0.912744,0.000890403,0.928943
wormhole,1,seq,15000,5000,0.000454323,0.000236736,0.00046488
